c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
NULL|NULL|NULL|NULL|280731|15
NULL|NULL|NULL|NULL|796910|15
NULL|NULL|NULL|NULL|1449606|15
NULL|NULL|NULL|NULL|1474587|15
NULL|NULL|NULL|NULL|1540874|15
NULL|NULL|NULL|NULL|1773604|16
NULL|NULL|NULL|NULL|2189917|15
NULL|NULL|NULL|NULL|2392890|15
NULL|NULL|NULL|Y|2329537|16
NULL|NULL|NULL|Y|2333869|15
NULL|NULL|NULL|N|77257|15
NULL|NULL|NULL|N|1448760|15
NULL|NULL|NULL|N|1505645|15
NULL|NULL|NULL|N|1556442|15
NULL|NULL|NULL|N|2147190|15
NULL|NULL|Dr.|NULL|903150|15
NULL|NULL|Dr.|NULL|1158159|15
NULL|NULL|Dr.|NULL|2138634|15
NULL|NULL|Miss|NULL|1554060|15
NULL|NULL|Miss|N|318419|15
NULL|NULL|Mr.|NULL|1009038|15
NULL|NULL|Mr.|NULL|1693424|15
NULL|NULL|Mrs.|NULL|28481|15
NULL|NULL|Mrs.|Y|692716|15
NULL|NULL|Mrs.|N|332319|16
NULL|NULL|Sir|NULL|335692|15
NULL|NULL|Sir|Y|1209226|15
NULL|NULL|Sir|N|376339|15
NULL|NULL|Sir|N|2170307|15
NULL|Amado|NULL|NULL|556856|15
NULL|Anna|NULL|Y|933530|15
NULL|Anne|Dr.|NULL|617084|16
NULL|Arthur|Miss|NULL|855022|15
NULL|Ashley|Miss|NULL|856726|15
NULL|Brenda|Dr.|N|1952005|15
NULL|Christopher|Sir|NULL|814739|15
NULL|Don|Sir|Y|1459235|15
NULL|Elizabeth|NULL|N|1926165|15
NULL|Frank|Sir|NULL|1559871|15
NULL|Gary|NULL|NULL|1076250|15
NULL|Irene|NULL|NULL|490902|15
NULL|Jennifer|NULL|N|622534|15
NULL|John|NULL|NULL|1316210|15
NULL|Karl|Dr.|N|1927289|15
NULL|Kathrine|NULL|NULL|1996002|15
NULL|Kathy|NULL|Y|427694|16
NULL|Luz|NULL|NULL|1737583|15
NULL|Margaret|NULL|NULL|1498742|16
NULL|Margaret|Ms.|Y|658557|16
NULL|Michael|NULL|NULL|522868|15
NULL|Michelle|Miss|Y|467026|15
NULL|Milton|NULL|NULL|306198|15
NULL|Nicole|Miss|N|7856|16
NULL|Patrick|Dr.|Y|699229|15
NULL|Reyna|NULL|N|2111578|15
NULL|Richard|NULL|NULL|864649|15
NULL|Robert|NULL|NULL|1764039|15
NULL|Thomas|NULL|N|121790|15
NULL|Winston|NULL|NULL|1952240|16
Abbott|James|Sir|N|1648757|15
Abel|Joseph|Dr.|Y|1133101|15
Abraham|Harvey|Sir|N|247292|15
Adams|NULL|Ms.|Y|1598642|15
Adams|Caroline|Mrs.|N|1976732|16
Adams|Jennifer|Miss|Y|1164228|16
Adler|Carolyn|Miss|N|1701454|16
Aguilar|Cynthia|Miss|N|859441|15
Aguilar|Mark|Mr.|N|479783|16
Aguilera|Michelle|NULL|NULL|806357|15
Akers|Melvin|Mr.|Y|1433650|16
Alford|Anthony|Miss|Y|510751|15
Allen|NULL|NULL|N|1377529|15
Allen|Barbara|Miss|N|2258228|15
Allen|Christopher|Dr.|N|54536|15
Allen|Jennifer|Dr.|Y|769746|15
Allen|Rachel|Ms.|Y|833970|15
Allison|Donna|Ms.|Y|773408|15
Allison|Patsy|Mrs.|N|734810|15
Allison|Tina|Ms.|N|1468994|15
Almeida|Geraldine|Miss|N|383438|15
Alston|Mona|Mrs.|Y|1637918|15
Anderson|Candace|Dr.|Y|653343|15
Anderson|Dawn|Mrs.|Y|504049|16
Anderson|Ernest|Dr.|N|1816861|15
Anderson|Lucinda|Miss|Y|1991423|15
Anderson|Mark|Sir|Y|1770210|15
Anderson|Nancy|Miss|N|2057390|15
Anderson|Randall|Mr.|Y|2324043|15
Anderson|Stephen|Sir|N|929519|15
Anderson|Theodore|Mr.|N|2028569|15
Anderson|Travis|Dr.|Y|1074786|15
Andrews|Everett|Mr.|Y|2234057|15
Andrews|Michael|Sir|N|1596710|15
Andrews|Wade|Mr.|Y|2149789|15
Antonio|Olivia|Mrs.|Y|1151931|15
Antonio|Olivia|Mrs.|Y|1729049|15
Applegate|Julio|Sir|N|2291514|15
Arevalo|Robert|Mr.|Y|213719|16
Armstrong|John|Sir|N|1752099|15
Arnold|NULL|NULL|N|1323568|15
Arnold|Deborah|Mrs.|N|2041603|16
Arnold|Giovanni|Sir|Y|1776225|15
Arnold|John|Sir|N|1440390|15
Arnold|William|Mr.|Y|147404|15
Ashby|Shirly|Miss|N|1321341|15
Austin|Betty|Dr.|N|720734|15
Ayala|Julia|Dr.|Y|496179|16
Babb|Bobby|Sir|Y|1895341|15
Babcock|Douglas|Sir|N|827602|15
Baca|Brenda|Mrs.|N|381955|15
Bailey|Jocelyn|Miss|N|145614|15
Bailey|Meaghan|Miss|N|1324271|15
Baird|Ann|Miss|Y|1546308|15
Baker|Audrey|Mrs.|N|1288082|16
Baker|Desiree|Mrs.|N|933532|15
Baker|Diana|Ms.|N|543779|15
Baker|Edgar|Sir|Y|1027374|16
Baker|Helen|Miss|Y|1376217|16
Baker|Jerome|Dr.|N|2086775|15
Baker|Joanna|Ms.|Y|2124270|15
Baker|Mark|Mr.|Y|2165236|15
Baker|Stanley|Mr.|N|2277384|16
Baldwin|Matthew|Dr.|N|500067|15
